task,priority,period_ms,deadline_ms,ci_ms,ci_cycles,ci_source
Sensor,2,20.000,20.000,0.400,,measured.task_csv_max
UART,1,10.000,10.000,0.000,,measured.task_csv_max
Inference,3,100.000,100.000,,,from_wcet
Logger,4,100.000,100.000,15.943,,measured.task_csv_max
