task,priority,period_ms,deadline_ms,ci_ms,ci_cycles,ci_source
Sensor,2,20.000,20.000,0.641,,measured.task_csv_max
UART,1,10.000,10.000,0.000,,measured.task_csv_max
Inference,3,1000.000,1000.000,,,from_wcet
Logger,4,1000.000,1000.000,25.558,,measured.task_csv_max
